sentence_number;design_decision;classification;alternative_classification
1;0;-;-
2;0;-;-
3;1;platform;-
4;1;architectural style;component
5;1;messaging;architectural style
6;0;-;-
7;0;-;-
8;1;design rule;-
9;1;guideline;-
10;1;platform;-
11;0;-;-
12;1;component;architectural style
13;1;component;architectural style
14;1;algorithm;-
15;1;api;-
16;0;-;-
17;0;-;-
18;0;-;-
19;1;programming language;platform
20;1;programming language;-
21;1;programming language;integration
22;1;data base;-
23;1;framework;-
24;1;integration;-
25;1;integration;-
26;1;integration;-
